,Edad,Genero,Survived
212,17.0,0,1
213,46.0,0,0
214,26.0,1,1
215,20.0,1,1
216,28.0,0,0
217,40.0,1,0
218,30.0,1,0
219,22.0,0,1
220,23.0,0,1
221,0.75,1,1
222,9.0,1,1
223,2.0,1,1
224,36.0,0,0
225,24.0,1,1
226,30.0,0,0
227,53.0,1,0
228,36.0,0,0
229,26.0,0,1
230,1.0,1,1
231,30.0,0,0
232,29.0,0,0
233,32.0,0,0
234,43.0,0,0
235,24.0,0,1
236,64.0,1,0
237,30.0,1,0
238,0.83,0,1
239,55.0,1,0
240,45.0,1,0
241,18.0,0,1
242,22.0,0,1
243,37.0,0,0
244,55.0,0,0
245,17.0,0,1
246,57.0,1,0
247,19.0,0,1
248,27.0,0,0
249,22.0,2,1
250,26.0,0,1
251,25.0,0,1
252,26.0,0,1
253,33.0,0,0
254,39.0,0,0
255,23.0,0,1
256,12.0,2,1
257,46.0,0,0
258,29.0,1,0
259,21.0,0,1
260,48.0,0,0
261,39.0,0,0
262,19.0,1,1
263,27.0,0,0
264,30.0,0,0
265,32.0,0,0
266,39.0,0,0
267,25.0,0,1
268,18.0,0,1
269,32.0,0,0
270,58.0,0,0
271,16.0,0,1
272,26.0,0,1
273,38.0,0,0
274,24.0,0,1
275,31.0,0,0
276,45.0,0,0
277,25.0,0,1
278,18.0,0,1
279,49.0,1,0
280,0.17,1,1
281,50.0,0,0
282,59.0,2,0
283,30.0,1,0
284,14.5,8,1
285,24.0,1,1
286,31.0,0,0
287,27.0,0,0
288,25.0,1,1
289,22.0,0,1
290,45.0,0,0
291,29.0,0,0
292,21.0,1,1
293,31.0,0,0
294,49.0,0,0
295,44.0,0,0
296,54.0,1,0
297,45.0,0,0
298,22.0,2,1
299,21.0,0,1
300,55.0,0,0
301,5.0,4,1
302,26.0,0,1
303,19.0,1,1
304,24.0,1,1
305,24.0,0,1
306,57.0,0,0
307,21.0,0,1
308,6.0,3,1
309,23.0,0,1
310,51.0,0,0
311,13.0,0,1
312,47.0,0,0
313,29.0,3,0
314,18.0,1,1
315,24.0,0,1
316,48.0,1,0
317,22.0,0,1
318,31.0,0,0
319,30.0,0,0
320,38.0,1,0
321,22.0,0,1
322,17.0,0,1
323,43.0,1,0
324,20.0,0,1
325,23.0,1,1
326,50.0,1,0
327,3.0,1,1
328,37.0,1,0
329,28.0,0,0
330,39.0,0,0
331,38.5,0,0
